cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2023;4323121.58;7598440.81;3275319.2299999995;75.76282945991076;8.0;8.0;0.0;0.0;2023;2026;realizado;540390.1975;949805.10125;75.76282945991075;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2024;28565628.82;30476691.14;1911062.3200000003;6.690076147254231;4.0;3.91;-0.08999999999999986;-2.2499999999999964;2024;2026;realizado;7141407.205;7794550.163682864;9.145857951155211;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2024;7047485.93;5314211.39;-1733274.54;-24.594224908229084;8.0;8.0;0.0;0.0;2024;2026;realizado;880935.74125;664276.42375;-24.59422490822908;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2025;29695094.47;25952401.98;-3742692.4899999984;-12.603739967155587;4.0;3.25;-0.75;-18.75;2025;2026;realizado;7423773.6175;7985354.455384616;7.564627732731588;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2025;7203573.91;4548900.0;-2654673.91;-36.85217842097493;8.0;8.0;0.0;0.0;2025;2026;realizado;900446.73875;568612.5;-36.85217842097494;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2026;25786074.16;;;;3.17;;;;2026;;so previsao;8134408.252365931;;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2026;9352134.0;;;;8.0;;;;2026;;so previsao;1169016.75;;;Consumo;Alpargatas
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2010;;0.0;;;;2.0;;;;2013;so realizado;;0.0;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2011;;42473317.0;;;;9.33;;;;2014;so realizado;;4552338.370846731;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2011;;13636844.0;;;;10.0;;;;2014;so realizado;;1363684.4;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2011;;1513654.0;;;;6.0;;;;2014;so realizado;;252275.66666666666;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2012;;50715814.0;;;;10.25;;;;2015;so realizado;;4947884.292682927;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2012;;13181189.0;;;;9.75;;;;2015;so realizado;;1351916.8205128205;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2012;;1391280.0;;;;6.0;;;;2015;so realizado;;231880.0;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2013;35356521.0;60985036.0;25628515.0;72.48596376323339;11.0;11.0;0.0;0.0;2013;2016;realizado;3214229.1818181816;5544094.181818182;72.48596376323337;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2013;7709693.0;12241642.0;4531949.0;58.782483297324546;10.0;10.0;0.0;0.0;2013;2016;realizado;770969.3;1224164.2;58.78248329732454;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2013;811803.0;1408715.0;596912.0;73.5291690225338;6.0;6.0;0.0;0.0;2013;2016;realizado;135300.5;234785.83333333334;73.5291690225338;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2014;63233495.0;49680554.0;-13552941.0;-21.433167659007303;9.0;10.0;1.0;11.11111111111111;2014;2017;realizado;7025943.888888889;4968055.4;-29.28985089310657;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2014;15218990.0;11794608.0;-3424382.0;-22.500717853155827;12.0;12.0;0.0;0.0;2014;2017;realizado;1268249.1666666667;982884.0;-22.500717853155827;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2014;1549586.0;1538018.0;-11568.0;-0.7465219742563498;6.0;6.0;0.0;0.0;2014;2017;realizado;258264.33333333334;256336.33333333334;-0.7465219742563534;Consumo;Ambev
